frame,time_sec,similarity_pct,is_match,threshold,status
1,0.033,78.91,True,75.0,match
2,0.067,78.98,True,75.0,match
3,0.1,80.30,True,75.0,match
4,0.133,81.62,True,75.0,match
5,0.167,81.70,True,75.0,match
6,0.2,82.49,True,75.0,match
7,0.233,82.26,True,75.0,match
8,0.267,82.52,True,75.0,match
9,0.3,,,75.0,no_face
10,0.333,80.82,True,75.0,match
11,0.367,81.04,True,75.0,match
12,0.4,77.97,True,75.0,match
13,0.433,78.68,True,75.0,match
14,0.467,,,75.0,no_face
15,0.5,,,75.0,no_face
16,0.533,,,75.0,no_face
17,0.567,,,75.0,no_face
18,0.6,,,75.0,no_face
19,0.633,,,75.0,no_face
20,0.667,,,75.0,no_face
21,0.7,,,75.0,no_face
22,0.733,,,75.0,no_face
23,0.767,,,75.0,no_face
24,0.8,,,75.0,no_face
25,0.833,79.65,True,75.0,match
26,0.867,80.33,True,75.0,match
27,0.9,75.40,True,75.0,match
28,0.933,65.98,False,75.0,mismatch
29,0.967,70.85,False,75.0,mismatch
30,1.0,75.50,True,75.0,match
31,1.033,,,75.0,no_face
32,1.067,72.12,False,75.0,mismatch
33,1.1,72.43,False,75.0,mismatch
34,1.133,,,75.0,no_face
35,1.167,,,75.0,no_face
36,1.2,,,75.0,no_face
37,1.233,,,75.0,no_face
38,1.267,,,75.0,no_face
39,1.3,,,75.0,no_face
40,1.333,,,75.0,no_face
41,1.367,,,75.0,no_face
42,1.4,,,75.0,no_face
43,1.433,,,75.0,no_face
44,1.467,,,75.0,no_face
45,1.5,,,75.0,no_face
46,1.533,,,75.0,no_face
47,1.567,,,75.0,no_face
48,1.6,,,75.0,no_face
49,1.633,,,75.0,no_face
50,1.667,,,75.0,no_face
51,1.7,,,75.0,no_face
52,1.733,,,75.0,no_face
53,1.767,,,75.0,no_face
54,1.8,66.68,False,75.0,mismatch
55,1.833,,,75.0,no_face
56,1.867,,,75.0,no_face
57,1.9,70.70,False,75.0,mismatch
58,1.933,71.38,False,75.0,mismatch
59,1.967,71.30,False,75.0,mismatch
60,2.0,,,75.0,no_face
61,2.033,,,75.0,no_face
62,2.067,69.21,False,75.0,mismatch
63,2.1,66.35,False,75.0,mismatch
64,2.133,67.23,False,75.0,mismatch
65,2.167,67.20,False,75.0,mismatch
66,2.2,67.15,False,75.0,mismatch
67,2.233,64.82,False,75.0,mismatch
68,2.267,68.23,False,75.0,mismatch
69,2.3,73.23,False,75.0,mismatch
70,2.333,73.69,False,75.0,mismatch
71,2.367,74.06,False,75.0,mismatch
72,2.4,70.32,False,75.0,mismatch
73,2.433,61.62,False,75.0,mismatch
74,2.467,74.77,False,75.0,mismatch
75,2.5,75.14,True,75.0,match
76,2.533,,,75.0,no_face
77,2.567,,,75.0,no_face
78,2.6,,,75.0,no_face
79,2.633,76.36,True,75.0,match
80,2.667,,,75.0,no_face
81,2.7,,,75.0,no_face
82,2.733,,,75.0,no_face
83,2.767,79.21,True,75.0,match
84,2.8,75.89,True,75.0,match
85,2.833,79.54,True,75.0,match
86,2.867,,,75.0,no_face
87,2.9,,,75.0,no_face
88,2.933,,,75.0,no_face
89,2.967,,,75.0,no_face
90,3.0,,,75.0,no_face
91,3.033,,,75.0,no_face
92,3.067,,,75.0,no_face
93,3.1,,,75.0,no_face
94,3.133,,,75.0,no_face
95,3.167,,,75.0,no_face
96,3.2,,,75.0,no_face
97,3.233,86.47,True,75.0,match
98,3.267,84.12,True,75.0,match
99,3.3,84.86,True,75.0,match
100,3.333,82.22,True,75.0,match
101,3.367,83.37,True,75.0,match
102,3.4,84.29,True,75.0,match
103,3.433,84.69,True,75.0,match
104,3.467,84.97,True,75.0,match
105,3.5,85.06,True,75.0,match
106,3.533,84.45,True,75.0,match
107,3.567,86.27,True,75.0,match
108,3.6,86.58,True,75.0,match
109,3.633,86.09,True,75.0,match
110,3.667,85.71,True,75.0,match
111,3.7,85.35,True,75.0,match
112,3.733,84.77,True,75.0,match
113,3.767,86.77,True,75.0,match
114,3.8,87.15,True,75.0,match
115,3.833,,,75.0,no_face
116,3.867,80.82,True,75.0,match
117,3.9,81.89,True,75.0,match
118,3.933,87.11,True,75.0,match
119,3.967,85.22,True,75.0,match
120,4.0,83.09,True,75.0,match
121,4.033,85.24,True,75.0,match
122,4.067,85.08,True,75.0,match
123,4.1,87.08,True,75.0,match
124,4.133,86.59,True,75.0,match
125,4.167,82.25,True,75.0,match
126,4.2,84.94,True,75.0,match
127,4.233,84.87,True,75.0,match
128,4.267,86.76,True,75.0,match
129,4.3,86.38,True,75.0,match
130,4.333,86.15,True,75.0,match
131,4.367,,,75.0,no_face
132,4.4,81.82,True,75.0,match
133,4.433,83.18,True,75.0,match
134,4.467,82.86,True,75.0,match
135,4.5,85.76,True,75.0,match
136,4.533,84.74,True,75.0,match
137,4.567,85.09,True,75.0,match
138,4.6,86.26,True,75.0,match
139,4.633,86.67,True,75.0,match
140,4.667,87.97,True,75.0,match
141,4.7,87.70,True,75.0,match
142,4.733,,,75.0,no_face
143,4.767,85.77,True,75.0,match
144,4.8,78.11,True,75.0,match
145,4.833,78.35,True,75.0,match
146,4.867,75.44,True,75.0,match
147,4.9,76.01,True,75.0,match
148,4.933,76.01,True,75.0,match
149,4.967,70.52,False,75.0,mismatch
150,5.0,64.87,False,75.0,mismatch
151,5.033,67.18,False,75.0,mismatch
152,5.067,76.17,True,75.0,match
153,5.1,73.36,False,75.0,mismatch
154,5.133,,,75.0,no_face
155,5.167,74.96,False,75.0,mismatch
156,5.2,,,75.0,no_face
157,5.233,80.52,True,75.0,match
158,5.267,75.98,True,75.0,match
159,5.3,76.76,True,75.0,match
160,5.333,76.60,True,75.0,match
161,5.367,81.65,True,75.0,match
162,5.4,76.79,True,75.0,match
163,5.433,84.75,True,75.0,match
164,5.467,77.51,True,75.0,match
165,5.5,,,75.0,no_face
166,5.533,,,75.0,no_face
167,5.567,,,75.0,no_face
168,5.6,,,75.0,no_face
169,5.633,86.19,True,75.0,match
170,5.667,82.56,True,75.0,match
171,5.7,83.82,True,75.0,match
172,5.733,79.67,True,75.0,match
173,5.767,82.74,True,75.0,match
174,5.8,83.62,True,75.0,match
175,5.833,85.70,True,75.0,match
176,5.867,85.70,True,75.0,match
177,5.9,87.16,True,75.0,match
178,5.933,86.15,True,75.0,match
179,5.967,86.04,True,75.0,match
180,6.0,85.72,True,75.0,match
181,6.033,86.81,True,75.0,match
182,6.067,86.27,True,75.0,match
183,6.1,86.05,True,75.0,match
184,6.133,85.69,True,75.0,match
185,6.167,84.86,True,75.0,match
186,6.2,84.91,True,75.0,match
187,6.233,84.92,True,75.0,match
188,6.267,84.92,True,75.0,match
189,6.3,84.67,True,75.0,match
190,6.333,85.07,True,75.0,match
191,6.367,85.06,True,75.0,match
192,6.4,87.54,True,75.0,match
193,6.433,,,75.0,no_face
194,6.467,85.92,True,75.0,match
195,6.5,85.65,True,75.0,match
196,6.533,85.52,True,75.0,match
197,6.567,86.46,True,75.0,match
198,6.6,85.86,True,75.0,match
199,6.633,87.18,True,75.0,match
200,6.667,87.18,True,75.0,match
201,6.7,86.91,True,75.0,match
202,6.733,86.64,True,75.0,match
203,6.767,88.10,True,75.0,match
204,6.8,87.53,True,75.0,match
205,6.833,87.37,True,75.0,match
206,6.867,87.82,True,75.0,match
207,6.9,87.85,True,75.0,match
208,6.933,86.78,True,75.0,match
209,6.967,86.66,True,75.0,match
210,7.0,87.54,True,75.0,match
211,7.033,86.95,True,75.0,match
212,7.067,86.61,True,75.0,match
213,7.1,86.44,True,75.0,match
214,7.133,85.91,True,75.0,match
215,7.167,85.62,True,75.0,match
216,7.2,86.00,True,75.0,match
217,7.233,86.09,True,75.0,match
218,7.267,85.89,True,75.0,match
219,7.3,86.02,True,75.0,match
220,7.333,86.27,True,75.0,match
221,7.367,86.10,True,75.0,match
222,7.4,85.73,True,75.0,match
223,7.433,85.46,True,75.0,match
224,7.467,85.46,True,75.0,match
225,7.5,85.51,True,75.0,match
226,7.533,85.46,True,75.0,match
227,7.567,85.38,True,75.0,match
228,7.6,85.62,True,75.0,match
229,7.633,85.84,True,75.0,match
230,7.667,85.94,True,75.0,match
231,7.7,85.78,True,75.0,match
232,7.733,86.38,True,75.0,match
233,7.767,86.99,True,75.0,match
234,7.8,87.15,True,75.0,match
235,7.833,87.03,True,75.0,match
236,7.867,86.85,True,75.0,match
237,7.9,87.00,True,75.0,match
238,7.933,87.37,True,75.0,match
239,7.967,87.42,True,75.0,match
240,8.0,87.39,True,75.0,match
241,8.033,87.37,True,75.0,match
242,8.067,87.82,True,75.0,match
243,8.1,87.68,True,75.0,match
244,8.133,87.78,True,75.0,match
245,8.167,87.78,True,75.0,match
246,8.2,87.08,True,75.0,match
247,8.233,87.18,True,75.0,match
248,8.267,87.10,True,75.0,match
249,8.3,87.25,True,75.0,match
250,8.333,87.61,True,75.0,match
251,8.367,87.04,True,75.0,match
252,8.4,87.01,True,75.0,match
253,8.433,87.03,True,75.0,match
254,8.467,87.31,True,75.0,match
255,8.5,87.77,True,75.0,match
256,8.533,87.67,True,75.0,match
257,8.567,87.49,True,75.0,match
258,8.6,87.60,True,75.0,match
259,8.633,87.60,True,75.0,match
260,8.667,87.11,True,75.0,match
261,8.7,87.13,True,75.0,match
262,8.733,87.84,True,75.0,match
263,8.767,88.32,True,75.0,match
264,8.8,88.08,True,75.0,match
265,8.833,88.29,True,75.0,match
266,8.867,87.87,True,75.0,match
267,8.9,87.93,True,75.0,match
268,8.933,87.64,True,75.0,match
269,8.967,87.78,True,75.0,match
270,9.0,87.89,True,75.0,match
271,9.033,87.74,True,75.0,match
272,9.067,87.67,True,75.0,match
273,9.1,87.65,True,75.0,match
274,9.133,87.90,True,75.0,match
275,9.167,87.93,True,75.0,match
276,9.2,87.93,True,75.0,match
277,9.233,88.09,True,75.0,match
278,9.267,87.90,True,75.0,match
279,9.3,87.72,True,75.0,match
280,9.333,87.61,True,75.0,match
281,9.367,87.90,True,75.0,match
282,9.4,88.28,True,75.0,match
283,9.433,88.26,True,75.0,match
284,9.467,88.09,True,75.0,match
285,9.5,88.17,True,75.0,match
286,9.533,88.21,True,75.0,match
287,9.567,88.14,True,75.0,match
288,9.6,88.08,True,75.0,match
289,9.633,88.05,True,75.0,match
290,9.667,88.15,True,75.0,match
291,9.7,87.74,True,75.0,match
292,9.733,87.56,True,75.0,match
293,9.767,87.28,True,75.0,match
294,9.8,87.63,True,75.0,match
295,9.833,87.63,True,75.0,match
296,9.867,87.66,True,75.0,match
297,9.9,88.06,True,75.0,match
298,9.933,87.36,True,75.0,match
299,9.967,87.57,True,75.0,match
300,10.0,88.02,True,75.0,match
301,10.033,87.38,True,75.0,match
302,10.067,87.28,True,75.0,match
303,10.1,87.02,True,75.0,match
304,10.133,87.79,True,75.0,match
305,10.167,87.55,True,75.0,match
306,10.2,87.90,True,75.0,match
307,10.233,88.07,True,75.0,match
308,10.267,87.94,True,75.0,match
309,10.3,87.67,True,75.0,match
310,10.333,88.18,True,75.0,match
311,10.367,88.15,True,75.0,match
312,10.4,88.63,True,75.0,match
313,10.433,87.27,True,75.0,match
314,10.467,86.76,True,75.0,match
315,10.5,86.48,True,75.0,match
316,10.533,85.55,True,75.0,match
317,10.567,86.12,True,75.0,match
318,10.6,86.05,True,75.0,match
319,10.633,87.36,True,75.0,match
320,10.667,86.66,True,75.0,match
321,10.7,86.95,True,75.0,match
322,10.733,86.00,True,75.0,match
323,10.767,86.42,True,75.0,match
324,10.8,86.02,True,75.0,match
325,10.833,85.20,True,75.0,match
326,10.867,85.96,True,75.0,match
327,10.9,85.21,True,75.0,match
328,10.933,85.24,True,75.0,match
329,10.967,84.95,True,75.0,match
330,11.0,84.97,True,75.0,match
331,11.033,83.85,True,75.0,match
332,11.067,85.03,True,75.0,match
333,11.1,83.43,True,75.0,match
334,11.133,83.62,True,75.0,match
335,11.167,83.39,True,75.0,match
336,11.2,83.80,True,75.0,match
337,11.233,85.18,True,75.0,match
338,11.267,84.67,True,75.0,match
339,11.3,85.03,True,75.0,match
340,11.333,85.85,True,75.0,match
341,11.367,85.26,True,75.0,match
342,11.4,85.32,True,75.0,match
343,11.433,86.31,True,75.0,match
344,11.467,84.79,True,75.0,match
345,11.5,84.57,True,75.0,match
346,11.533,86.58,True,75.0,match
347,11.567,86.72,True,75.0,match
348,11.6,84.91,True,75.0,match
349,11.633,86.17,True,75.0,match
350,11.667,86.33,True,75.0,match
351,11.7,86.76,True,75.0,match
352,11.733,85.62,True,75.0,match
353,11.767,84.92,True,75.0,match
354,11.8,85.56,True,75.0,match
355,11.833,85.26,True,75.0,match
356,11.867,85.62,True,75.0,match
357,11.9,86.30,True,75.0,match
358,11.933,86.85,True,75.0,match
359,11.967,87.41,True,75.0,match
360,12.0,87.01,True,75.0,match
361,12.033,87.29,True,75.0,match
362,12.067,87.94,True,75.0,match
363,12.1,88.88,True,75.0,match
364,12.133,88.79,True,75.0,match
365,12.167,88.69,True,75.0,match
366,12.2,87.70,True,75.0,match
367,12.233,87.74,True,75.0,match
368,12.267,87.60,True,75.0,match
369,12.3,87.69,True,75.0,match
370,12.333,87.28,True,75.0,match
371,12.367,87.57,True,75.0,match
372,12.4,86.48,True,75.0,match
373,12.433,87.63,True,75.0,match
374,12.467,87.10,True,75.0,match
375,12.5,87.68,True,75.0,match
376,12.533,86.65,True,75.0,match
377,12.567,85.57,True,75.0,match
378,12.6,86.18,True,75.0,match
