frame,time_sec,similarity_pct,is_match,threshold,status
1,0.033,68.44,False,75.0,mismatch
2,0.067,68.78,False,75.0,mismatch
3,0.1,69.11,False,75.0,mismatch
4,0.133,66.78,False,75.0,mismatch
5,0.167,68.90,False,75.0,mismatch
6,0.2,69.36,False,75.0,mismatch
7,0.233,67.44,False,75.0,mismatch
8,0.267,66.17,False,75.0,mismatch
9,0.3,66.89,False,75.0,mismatch
10,0.333,71.96,False,75.0,mismatch
11,0.367,70.74,False,75.0,mismatch
12,0.4,70.18,False,75.0,mismatch
13,0.433,70.50,False,75.0,mismatch
14,0.467,70.18,False,75.0,mismatch
15,0.5,70.17,False,75.0,mismatch
16,0.533,70.05,False,75.0,mismatch
17,0.567,71.94,False,75.0,mismatch
18,0.6,71.94,False,75.0,mismatch
19,0.633,71.79,False,75.0,mismatch
20,0.667,73.82,False,75.0,mismatch
21,0.7,73.86,False,75.0,mismatch
22,0.733,76.23,True,75.0,match
23,0.767,70.66,False,75.0,mismatch
24,0.8,70.81,False,75.0,mismatch
25,0.833,68.73,False,75.0,mismatch
26,0.867,70.97,False,75.0,mismatch
27,0.9,70.94,False,75.0,mismatch
28,0.933,70.11,False,75.0,mismatch
29,0.967,68.14,False,75.0,mismatch
30,1.0,68.48,False,75.0,mismatch
31,1.033,66.43,False,75.0,mismatch
32,1.067,57.65,False,75.0,mismatch
33,1.1,58.04,False,75.0,mismatch
34,1.133,,,75.0,no_face
35,1.167,,,75.0,no_face
36,1.2,,,75.0,no_face
37,1.233,,,75.0,no_face
38,1.267,66.14,False,75.0,mismatch
39,1.3,,,75.0,no_face
40,1.333,71.64,False,75.0,mismatch
41,1.367,71.32,False,75.0,mismatch
42,1.4,70.69,False,75.0,mismatch
43,1.433,73.87,False,75.0,mismatch
44,1.467,73.30,False,75.0,mismatch
45,1.5,72.55,False,75.0,mismatch
46,1.533,71.02,False,75.0,mismatch
47,1.567,71.48,False,75.0,mismatch
48,1.6,71.11,False,75.0,mismatch
49,1.633,71.87,False,75.0,mismatch
50,1.667,78.47,True,75.0,match
51,1.7,78.35,True,75.0,match
52,1.733,75.33,True,75.0,match
53,1.767,75.32,True,75.0,match
54,1.8,75.23,True,75.0,match
55,1.833,79.20,True,75.0,match
56,1.867,83.04,True,75.0,match
57,1.9,82.53,True,75.0,match
58,1.933,85.62,True,75.0,match
59,1.967,82.57,True,75.0,match
60,2.0,81.92,True,75.0,match
61,2.033,85.21,True,75.0,match
62,2.067,78.08,True,75.0,match
63,2.1,78.20,True,75.0,match
64,2.133,79.83,True,75.0,match
65,2.167,80.46,True,75.0,match
66,2.2,80.33,True,75.0,match
67,2.233,81.03,True,75.0,match
68,2.267,86.80,True,75.0,match
69,2.3,86.95,True,75.0,match
70,2.333,89.90,True,75.0,match
71,2.367,89.51,True,75.0,match
72,2.4,87.71,True,75.0,match
73,2.433,86.20,True,75.0,match
74,2.467,86.56,True,75.0,match
75,2.5,85.97,True,75.0,match
76,2.533,85.91,True,75.0,match
77,2.567,87.61,True,75.0,match
78,2.6,87.88,True,75.0,match
79,2.633,84.26,True,75.0,match
80,2.667,84.56,True,75.0,match
81,2.7,82.71,True,75.0,match
82,2.733,85.12,True,75.0,match
83,2.767,85.34,True,75.0,match
84,2.8,84.87,True,75.0,match
85,2.833,80.16,True,75.0,match
86,2.867,83.35,True,75.0,match
87,2.9,84.37,True,75.0,match
88,2.933,81.34,True,75.0,match
89,2.967,80.76,True,75.0,match
90,3.0,80.45,True,75.0,match
91,3.033,81.58,True,75.0,match
92,3.067,80.92,True,75.0,match
93,3.1,80.72,True,75.0,match
94,3.133,79.90,True,75.0,match
95,3.167,80.88,True,75.0,match
96,3.2,81.15,True,75.0,match
97,3.233,78.84,True,75.0,match
98,3.267,80.86,True,75.0,match
99,3.3,80.81,True,75.0,match
100,3.333,79.75,True,75.0,match
101,3.367,77.30,True,75.0,match
102,3.4,77.42,True,75.0,match
103,3.433,76.45,True,75.0,match
104,3.467,76.27,True,75.0,match
105,3.5,75.83,True,75.0,match
106,3.533,77.98,True,75.0,match
107,3.567,77.61,True,75.0,match
108,3.6,78.67,True,75.0,match
109,3.633,77.76,True,75.0,match
110,3.667,77.59,True,75.0,match
111,3.7,77.64,True,75.0,match
112,3.733,78.36,True,75.0,match
113,3.767,78.36,True,75.0,match
114,3.8,77.88,True,75.0,match
115,3.833,77.18,True,75.0,match
116,3.867,76.75,True,75.0,match
117,3.9,79.02,True,75.0,match
118,3.933,78.06,True,75.0,match
119,3.967,77.83,True,75.0,match
120,4.0,77.86,True,75.0,match
121,4.033,77.89,True,75.0,match
122,4.067,77.33,True,75.0,match
123,4.1,78.12,True,75.0,match
124,4.133,78.89,True,75.0,match
125,4.167,78.81,True,75.0,match
126,4.2,80.60,True,75.0,match
127,4.233,80.22,True,75.0,match
128,4.267,80.01,True,75.0,match
129,4.3,81.64,True,75.0,match
130,4.333,81.05,True,75.0,match
131,4.367,80.91,True,75.0,match
132,4.4,80.49,True,75.0,match
133,4.433,81.78,True,75.0,match
134,4.467,81.52,True,75.0,match
135,4.5,81.80,True,75.0,match
136,4.533,80.90,True,75.0,match
137,4.567,80.90,True,75.0,match
138,4.6,80.99,True,75.0,match
139,4.633,81.61,True,75.0,match
140,4.667,81.72,True,75.0,match
141,4.7,81.53,True,75.0,match
142,4.733,82.72,True,75.0,match
143,4.767,82.72,True,75.0,match
144,4.8,82.21,True,75.0,match
145,4.833,81.07,True,75.0,match
146,4.867,81.07,True,75.0,match
147,4.9,81.29,True,75.0,match
148,4.933,81.78,True,75.0,match
149,4.967,81.78,True,75.0,match
150,5.0,80.81,True,75.0,match
151,5.033,81.95,True,75.0,match
152,5.067,81.95,True,75.0,match
153,5.1,82.36,True,75.0,match
154,5.133,84.06,True,75.0,match
155,5.167,84.05,True,75.0,match
156,5.2,84.38,True,75.0,match
157,5.233,81.94,True,75.0,match
158,5.267,81.91,True,75.0,match
159,5.3,82.24,True,75.0,match
160,5.333,82.61,True,75.0,match
161,5.367,82.37,True,75.0,match
162,5.4,82.79,True,75.0,match
163,5.433,82.79,True,75.0,match
164,5.467,82.44,True,75.0,match
165,5.5,84.22,True,75.0,match
166,5.533,84.06,True,75.0,match
167,5.567,84.04,True,75.0,match
168,5.6,83.86,True,75.0,match
169,5.633,82.84,True,75.0,match
170,5.667,83.27,True,75.0,match
171,5.7,83.54,True,75.0,match
172,5.733,83.91,True,75.0,match
173,5.767,83.89,True,75.0,match
174,5.8,82.01,True,75.0,match
175,5.833,83.65,True,75.0,match
176,5.867,83.72,True,75.0,match
