frame,time_sec,similarity_pct,is_match,threshold,status
1,0.033,,,75.0,no_face
2,0.067,72.58,False,75.0,mismatch
3,0.1,72.04,False,75.0,mismatch
4,0.133,76.22,True,75.0,match
5,0.167,76.22,True,75.0,match
6,0.2,76.44,True,75.0,match
7,0.233,74.99,False,75.0,mismatch
8,0.267,75.43,True,75.0,match
9,0.3,74.41,False,75.0,mismatch
10,0.333,,,75.0,no_face
11,0.367,,,75.0,no_face
12,0.4,,,75.0,no_face
13,0.433,,,75.0,no_face
14,0.467,72.17,False,75.0,mismatch
15,0.5,74.37,False,75.0,mismatch
16,0.533,73.74,False,75.0,mismatch
17,0.567,71.48,False,75.0,mismatch
18,0.6,73.02,False,75.0,mismatch
19,0.633,71.27,False,75.0,mismatch
20,0.667,71.56,False,75.0,mismatch
21,0.7,70.20,False,75.0,mismatch
22,0.733,70.02,False,75.0,mismatch
23,0.767,67.17,False,75.0,mismatch
24,0.8,,,75.0,no_face
25,0.833,,,75.0,no_face
26,0.867,,,75.0,no_face
27,0.9,,,75.0,no_face
28,0.933,,,75.0,no_face
29,0.967,,,75.0,no_face
30,1.0,,,75.0,no_face
31,1.033,,,75.0,no_face
32,1.067,,,75.0,no_face
33,1.1,,,75.0,no_face
34,1.133,,,75.0,no_face
35,1.167,,,75.0,no_face
36,1.2,,,75.0,no_face
37,1.233,,,75.0,no_face
38,1.267,,,75.0,no_face
39,1.3,,,75.0,no_face
40,1.333,,,75.0,no_face
41,1.367,,,75.0,no_face
42,1.4,,,75.0,no_face
43,1.433,,,75.0,no_face
44,1.467,,,75.0,no_face
45,1.5,,,75.0,no_face
46,1.533,,,75.0,no_face
47,1.567,,,75.0,no_face
48,1.6,,,75.0,no_face
49,1.633,,,75.0,no_face
50,1.667,,,75.0,no_face
51,1.7,,,75.0,no_face
52,1.733,,,75.0,no_face
53,1.767,,,75.0,no_face
54,1.8,,,75.0,no_face
55,1.833,,,75.0,no_face
56,1.867,,,75.0,no_face
57,1.9,,,75.0,no_face
58,1.933,,,75.0,no_face
59,1.967,,,75.0,no_face
60,2.0,,,75.0,no_face
61,2.033,,,75.0,no_face
62,2.067,,,75.0,no_face
63,2.1,,,75.0,no_face
64,2.133,,,75.0,no_face
65,2.167,,,75.0,no_face
66,2.2,,,75.0,no_face
67,2.233,,,75.0,no_face
68,2.267,,,75.0,no_face
69,2.3,,,75.0,no_face
70,2.333,,,75.0,no_face
71,2.367,,,75.0,no_face
72,2.4,,,75.0,no_face
73,2.433,,,75.0,no_face
74,2.467,,,75.0,no_face
75,2.5,,,75.0,no_face
76,2.533,,,75.0,no_face
77,2.567,,,75.0,no_face
78,2.6,,,75.0,no_face
79,2.633,,,75.0,no_face
80,2.667,,,75.0,no_face
81,2.7,,,75.0,no_face
82,2.733,,,75.0,no_face
83,2.767,,,75.0,no_face
84,2.8,,,75.0,no_face
85,2.833,,,75.0,no_face
86,2.867,,,75.0,no_face
87,2.9,74.24,False,75.0,mismatch
88,2.933,73.97,False,75.0,mismatch
89,2.967,75.48,True,75.0,match
90,3.0,74.21,False,75.0,mismatch
91,3.033,74.53,False,75.0,mismatch
92,3.067,74.76,False,75.0,mismatch
93,3.1,73.47,False,75.0,mismatch
94,3.133,75.63,True,75.0,match
95,3.167,75.73,True,75.0,match
96,3.2,76.17,True,75.0,match
97,3.233,73.55,False,75.0,mismatch
98,3.267,74.37,False,75.0,mismatch
99,3.3,74.40,False,75.0,mismatch
100,3.333,75.43,True,75.0,match
101,3.367,75.73,True,75.0,match
102,3.4,78.40,True,75.0,match
103,3.433,78.40,True,75.0,match
104,3.467,76.94,True,75.0,match
105,3.5,76.38,True,75.0,match
106,3.533,76.46,True,75.0,match
107,3.567,,,75.0,no_face
108,3.6,,,75.0,no_face
109,3.633,,,75.0,no_face
110,3.667,,,75.0,no_face
111,3.7,,,75.0,no_face
112,3.733,,,75.0,no_face
113,3.767,,,75.0,no_face
114,3.8,,,75.0,no_face
115,3.833,,,75.0,no_face
116,3.867,,,75.0,no_face
117,3.9,,,75.0,no_face
118,3.933,,,75.0,no_face
119,3.967,,,75.0,no_face
120,4.0,,,75.0,no_face
121,4.033,,,75.0,no_face
122,4.067,,,75.0,no_face
123,4.1,,,75.0,no_face
124,4.133,,,75.0,no_face
125,4.167,,,75.0,no_face
126,4.2,,,75.0,no_face
